TimePoint,ImageNumber,ObjectNumber,AreaShape_Area,Area_um2,Intensity_IntegratedIntensity_Quant_p63,Total_p63_Intensity_per_um2_Object,Normalized_Total_p63_Intensity_per_um2_Object,renormalizing_value,Renormalized_Total_p63_Intensity_per_um2_Object,rescaled
0,3,76,42,16.1448,5768253.242,357282.4217,1.817931448,0.996619211,1.824098339,0.87030199
0,4,99,117,44.9748,16050576.55,356879.3312,1.815880435,0.996619211,1.822040369,0.86931989
0,6,19,18,6.9192,1442490.051,208476.4208,1.808483528,0.996619211,1.81461837,0.86577798
0,7,9,67,25.7548,9131345.383,354549.2639,1.80402454,0.996619211,1.810144256,0.86364285
0,9,131,9,3.4596,1224718.5,354005.8099,1.801259327,0.996619211,1.807369662,0.86231876
0,14,56,92,35.3648,12508582.28,353701.4851,1.799710856,0.996619211,1.805815938,0.86157729
0,9,27,11,4.2284,1494909.992,353540.3444,1.798890936,0.996619211,1.804993237,0.86118469
0,9,11,36,13.8384,4884169.516,352943.2243,1.795852658,0.996619211,1.801944653,0.85972985
0,9,137,20,7.688,2711883.391,352742.3765,1.7948307,0.996619211,1.800919228,0.85924049
0,5,17,38,14.6072,5147797.914,352415.1045,1.793165468,0.996619211,1.799248347,0.85844312
0,6,24,23,8.8412,3113368.32,352143.1842,1.791781878,0.996619211,1.797860064,0.85778061
0,1,108,24,9.2256,1900030.52,205951.9727,1.78658454,0.996619211,1.792645095,0.85529193
0,13,55,27,10.3788,3643262.656,351029.2766,1.786114072,0.996619211,1.792173031,0.85506665
0,4,107,15,5.766,2017784.352,349945.2569,1.780598342,0.996619211,1.78663859,0.85242551
0,9,87,81,31.1364,10888924.65,349716.8796,1.779436307,0.996619211,1.785472613,0.85186909
0,14,88,164,63.0416,22041622.52,349636.1533,1.779025554,0.996619211,1.785060467,0.8516724
0,10,6,26,9.9944,2048981.357,205012.943,1.778438679,0.996619211,1.784471601,0.85139138
0,6,4,2,0.7688,157501.1953,204866.279,1.777166404,0.996619211,1.78319501,0.85078217
0,14,53,27,10.3788,3624968.867,349266.6654,1.777145519,0.996619211,1.783174054,0.85077217
0,13,101,22,8.4568,2951911.156,349057.6999,1.776082256,0.996619211,1.782107184,0.85026304
0,14,47,27,10.3788,3612722.219,348086.6978,1.771141584,0.996619211,1.777149752,0.84789726
0,6,122,252,96.8688,33688163.93,347771.0463,1.76953548,0.996619211,1.7755382,0.8471282
0,13,120,102,39.2088,13611944.01,347165.5345,1.766454503,0.996619211,1.772446771,0.84565291
0,9,18,37,14.2228,2888477.16,203087.7999,1.761738519,0.996619211,1.76771479,0.84339473
0,5,35,57,21.9108,7578420.609,345876.0342,1.759893242,0.996619211,1.765863253,0.84251114
0,9,116,56,21.5264,7443507.648,345785.0662,1.759430377,0.996619211,1.765398818,0.8422895
0,10,146,9,3.4596,700151.7188,202379.3845,1.755593184,0.996619211,1.761548608,0.84045211
0,14,78,86,33.0584,11402294.34,344913.6783,1.754996564,0.996619211,1.760949964,0.84016643
0,7,66,11,4.2284,855435.3125,202307.0931,1.754966073,0.996619211,1.76091937,0.84015183
0,6,43,84,32.2896,11134959.8,344846.6319,1.754655417,0.996619211,1.76060766,0.84000307
0,10,7,53,20.3732,4115223.311,201991.9949,1.752232671,0.996619211,1.758176695,0.83884297
0,4,100,22,8.4568,2908862.027,343967.2249,1.750180801,0.996619211,1.756117865,0.83786046
0,7,4,300,115.32,39639193.73,343732.169,1.748984785,0.996619211,1.754917792,0.83728776
0,9,50,4,1.5376,528287.3906,343579.2083,1.748206487,0.996619211,1.754136854,0.83691509
0,5,99,19,7.3036,2507777.797,343361.8759,1.747100653,0.996619211,1.753027268,0.83638557
0,4,180,135,51.894,17809766.32,343195.0962,1.746252041,0.996619211,1.752175777,0.83597922
0,14,79,152,58.4288,20003376.78,342354.7425,1.741976136,0.996619211,1.747885368,0.83393176
0,7,58,145,55.738,19026715.88,341359.86,1.736913956,0.996619211,1.742806015,0.8315078
0,9,48,23,8.8412,3016019.992,341132.4246,1.735756714,0.996619211,1.741644848,0.83095367
0,9,20,19,7.3036,1460959.086,200032.7354,1.735236559,0.996619211,1.741122928,0.8307046
0,9,121,40,15.376,5242993.641,340985.5385,1.735009326,0.996619211,1.740894924,0.83059579
0,4,85,16,6.1504,2089693.492,339765.4611,1.728801304,0.996619211,1.734665843,0.82762316
0,9,159,1,0.3844,130587.3125,339717.2542,1.728556016,0.996619211,1.734419724,0.82750571
0,1,7,13,4.9972,1694995.313,339189.0083,1.725868186,0.996619211,1.731722775,0.82621868
0,9,8,20,7.688,2603360.469,338626.4918,1.723005978,0.996619211,1.728850858,0.82484814
0,7,113,8,3.0752,1040852.391,338466.5682,1.722192252,0.996619211,1.728034371,0.8244585
0,4,46,30,11.532,3902987.211,338448.4227,1.722099923,0.996619211,1.72794173,0.82441429
0,5,49,50,19.22,6502634.281,338326.4454,1.721479276,0.996619211,1.727318977,0.8241171
0,9,68,48,18.4512,6236312.898,337989.5562,1.719765109,0.996619211,1.725598996,0.8232963
0,5,64,101,38.8244,13119579.49,337920.9851,1.719416205,0.996619211,1.725248907,0.82312923
0,7,141,55,21.142,7141780.641,337800.6168,1.718803745,0.996619211,1.72463437,0.82283596
0,6,88,7,2.6908,908334.0703,337570.2655,1.717631666,0.996619211,1.723458315,0.82227472
0,1,51,21,8.0724,1596255.598,197742.3812,1.715368279,0.996619211,1.72118725,0.82119093
0,6,5,87,33.4428,11266579.18,336891.0253,1.714175543,0.996619211,1.719990468,0.8206198
0,1,33,47,18.0668,3565539.875,197353.1491,1.711991784,0.996619211,1.717799301,0.81957414
0,7,79,77,29.5988,9956880.898,336394.7491,1.711650381,0.996619211,1.717456739,0.81941066
0,5,34,79,30.3676,10208306.59,336157.8322,1.710444896,0.996619211,1.716247165,0.81883343
0,9,44,31,11.9164,4005016.383,336092.8118,1.710114058,0.996619211,1.715915205,0.81867501
0,13,142,14,5.3816,1807075.789,335787.8306,1.708562246,0.996619211,1.714358129,0.81793195
0,14,55,72,27.6768,9279855.508,335293.6578,1.706047786,0.996619211,1.71183514,0.81672793
0,12,54,116,44.5904,14942799.4,335112.4771,1.705125899,0.996619211,1.710910125,0.8162865
0,13,41,59,22.6796,7597713.953,335002.1144,1.704564349,0.996619211,1.710346671,0.81601761
0,6,53,84,32.2896,10804439.59,334610.5122,1.702571791,0.996619211,1.708347353,0.81506349
0,1,38,71,27.2924,5355776.398,196236.9157,1.702308723,0.996619211,1.708083393,0.81493753
0,14,27,11,4.2284,1413310.563,334242.3996,1.700698754,0.996619211,1.706467962,0.81416661
0,5,123,23,8.8412,1731936.102,195893.7816,1.699332116,0.996619211,1.705096688,0.81351222
0,4,63,20,7.688,2567537.992,333966.9605,1.699297259,0.996619211,1.705061713,0.81349553
0,10,12,31,11.9164,2331229.271,195632.009,1.697061301,0.996619211,1.702818169,0.81242487
0,1,102,32,12.3008,2406399.521,195629.5136,1.697039654,0.996619211,1.70279645,0.8124145
0,6,20,19,7.3036,1427999.215,195519.91,1.696088869,0.996619211,1.701842439,0.81195923
0,3,35,5,1.922,375672.5938,195459.2059,1.695562275,0.996619211,1.701314059,0.81170708
0,6,44,136,52.2784,17415370.82,333127.4641,1.695025717,0.996619211,1.700775681,0.81145015
0,5,53,118,45.3592,15108555.16,333086.8967,1.694819301,0.996619211,1.700568565,0.81135131
0,4,110,11,4.2284,1405870.406,332482.8319,1.691745687,0.996619211,1.697484524,0.80987955
0,7,140,38,14.6072,4856142.57,332448.5576,1.691571292,0.996619211,1.697309537,0.80979605
0,13,92,49,18.8356,6258801.898,332285.7726,1.690743006,0.996619211,1.696478441,0.80939943
0,1,64,17,6.5348,1271836.277,194625.1266,1.688326835,0.996619211,1.694054074,0.80824248
0,9,83,16,6.1504,1196554.951,194549.1271,1.687667557,0.996619211,1.69339256,0.80792679
0,1,33,19,7.3036,2420678.672,331436.37,1.686421059,0.996619211,1.692141833,0.80732992
0,1,66,64,24.6016,4781886.773,194372.9991,1.686139688,0.996619211,1.691859508,0.80719519
0,5,48,199,76.4956,25322492.05,331032.0077,1.684363574,0.996619211,1.690077369,0.80634472
0,5,36,78,29.9832,9908276.852,330460.9532,1.681457924,0.996619211,1.687161862,0.80495339
0,9,95,97,37.2868,12316375,330314.6154,1.680713325,0.996619211,1.686414737,0.80459685
0,9,4,92,35.3648,11669628.71,329978.6429,1.679003823,0.996619211,1.684699436,0.80377827
0,10,109,28,10.7632,2082059.762,193442.4485,1.678067383,0.996619211,1.683759819,0.80332987
0,4,93,7,2.6908,887086.9844,329674.0688,1.677454083,0.996619211,1.683144439,0.8030362
0,7,2,69,26.5236,8743070.094,329633.6128,1.677248234,0.996619211,1.682937892,0.80293763
0,5,125,15,5.766,1114499.52,193288.1581,1.67672895,0.996619211,1.682416846,0.80268898
0,9,120,136,52.2784,17215071.42,329296.0653,1.675530718,0.996619211,1.68121455,0.80211522
0,6,18,26,9.9944,1929914.746,193099.6104,1.675093343,0.996619211,1.680775691,0.80190579
0,6,65,50,19.22,6315407.922,328585.2197,1.67191378,0.996619211,1.677585342,0.8003833
0,6,42,15,5.766,1110615.832,192614.6084,1.670886066,0.996619211,1.676554142,0.79989119
0,9,110,22,8.4568,2773857.719,328003.2304,1.66895249,0.996619211,1.674614007,0.79896532
0,3,2,232,89.1808,29235188.45,327819.3115,1.66801667,0.996619211,1.673675012,0.79851722
0,14,93,2,0.7688,251713.0625,327410.331,1.665935688,0.996619211,1.671586971,0.79752077
0,6,81,25,9.61,1842120.352,191687.8618,1.662846759,0.996619211,1.668487563,0.79604167
0,6,14,344,132.2336,43196608.74,326668.9309,1.662163281,0.996619211,1.667801767,0.7957144
0,1,53,69,26.5236,5081254.98,191574.8609,1.661866503,0.996619211,1.667503982,0.79557229
0,5,26,48,18.4512,6026290.211,326606.953,1.661847924,0.996619211,1.66748534,0.79556339
0,9,99,23,8.8412,2886028.203,326429.4669,1.660944836,0.996619211,1.666579189,0.79513096
48,1,66,151,58.0444,18937736,326262.9,1.660097,0.996619,1.665729,0.79472523
0,1,27,26,9.9944,1911765.969,191283.7158,1.659340888,0.996619211,1.664969799,0.79436293
0,6,117,39,14.9916,4886167.5,325927.0191,1.658388271,0.996619211,1.664013951,0.79390678
48,1,3,18,6.9192,2254779,325872.8,1.658112,0.996619,1.663737,0.79377461
48,6,76,20,7.688,1469170,191099.1,1.65774,0.996619,1.663363,0.79359613
0,6,45,257,98.7908,32175241.72,325690.6688,1.657185669,0.996619211,1.662807269,0.79333093
48,7,37,213,81.8772,15636599,190976.2,1.656674,0.996619,1.662293,0.79308551
0,3,121,15,5.766,1100473.262,190855.5778,1.655626893,0.996619211,1.661243206,0.79258453
0,1,35,45,17.298,5627729.609,325339.9011,1.655400886,0.996619211,1.661016432,0.79247631
0,7,3,57,21.9108,7122614.336,325073.2212,1.65404396,0.996619211,1.659654903,0.79182656
0,13,90,38,14.6072,4745986.156,324907.3167,1.653199801,0.996619211,1.658807881,0.79142235
0,1,30,2,0.7688,146440.1094,190478.8103,1.652358524,0.996619211,1.65796375,0.79101951
48,1,76,51,19.6044,3726568,190088.4,1.648972,0.996619,1.654565,0.78939757
48,4,8,43,16.5292,3140171,189977.2,1.648007,0.996619,1.653598,0.7889361
0,9,12,29,11.1476,3610329.523,323866.0809,1.647901765,0.996619211,1.653491872,0.78888545
0,5,44,67,25.7548,8339781.641,323814.6536,1.647640091,0.996619211,1.653229311,0.78876015
0,10,50,41,15.7604,2989965.992,189713.8393,1.645722581,0.996619211,1.651305296,0.78784198
0,5,144,70,26.908,5103946.854,189681.3904,1.645441095,0.996619211,1.651022855,0.78770719
0,9,47,43,16.5292,5340325.094,323084.305,1.643923917,0.996619211,1.64950053,0.78698071
0,5,66,21,8.0724,2606411.414,322879.3685,1.642881155,0.996619211,1.648454231,0.7864814
0,9,65,124,47.6656,15387434.82,322820.5419,1.642581833,0.996619211,1.648153893,0.78633807
0,2,107,44,16.9136,3201403.984,189279.8685,1.641957988,0.996619211,1.647527933,0.78603935
0,4,44,20,7.688,2480489.445,322644.3087,1.64168512,0.996619211,1.647254138,0.78590869
0,14,86,43,16.5292,5332043.891,322583.3005,1.641374696,0.996619211,1.646942662,0.78576005
0,6,49,34,13.0696,2472592.434,189186.5423,1.641148406,0.996619211,1.646715604,0.78565169
0,1,22,22,8.4568,1597445.738,188894.8229,1.638617809,0.996619211,1.644176422,0.78443995
0,9,117,35,13.454,4331699.477,321963.6894,1.638221979,0.996619211,1.64377925,0.78425041
0,9,47,19,7.3036,1379162.965,188833.3103,1.638084201,0.996619211,1.643641005,0.78418444
0,6,73,113,43.4372,13983413.15,321922.526,1.638012531,0.996619211,1.643569091,0.78415012
0,6,27,14,5.3816,1732173.789,321869.665,1.637743562,0.996619211,1.64329921,0.78402133
0,5,25,85,32.674,10505611.67,321528.1775,1.636005999,0.996619211,1.641555752,0.78318932
48,7,79,80,30.752,5799548,188590.9,1.635982,0.996619,1.641531,0.7831775
0,6,115,114,43.8216,14071939.05,321118.7874,1.633922932,0.996619211,1.639465619,0.78219187
0,7,7,21,8.0724,1519891.486,188282.4794,1.633305874,0.996619211,1.638846468,0.7818964
0,10,34,6,2.3064,739996.9766,320845.0297,1.632529993,0.996619211,1.638067955,0.78152487
0,9,152,8,3.0752,986434.0703,320770.7044,1.632151809,0.996619211,1.637688489,0.78134379
0,1,77,132,50.7408,9544331.289,188099.74,1.631720653,0.996619211,1.63725587,0.78113733
48,8,104,21,8.0724,1518370,188094,1.631671,0.996619,1.637206,0.78111353
0,9,110,93,35.7492,6722643.856,188050.1901,1.63129082,0.996619211,1.636824578,0.78093151
48,11,143,9,3.4596,1108458,320400.7,1.630269,0.996619,1.6358,0.78044256
0,1,14,28,10.7632,3448275.063,320376.3809,1.630145404,0.996619211,1.635675277,0.78038304
0,1,113,25,9.61,1805769.645,187905.27,1.630033672,0.996619211,1.635563166,0.78032954
0,6,4,56,21.5264,6889038.031,320027.4097,1.628369762,0.996619211,1.633893612,0.7795328
0,9,23,16,6.1504,1968180.07,320008.4662,1.628273374,0.996619211,1.633796896,0.77948665
0,7,142,56,21.5264,6885383.688,319857.6486,1.627505981,0.996619211,1.6330269,0.77911919
0,9,37,36,13.8384,4426012.078,319835.5358,1.627393466,0.996619211,1.632914003,0.77906531
0,9,72,49,18.8356,3530947.895,187461.3973,1.626183181,0.996619211,1.631699613,0.77848578
48,8,119,35,13.454,2519779,187288.5,1.624683,0.996619,1.630195,0.77776776
0,4,83,44,16.9136,5400076.109,319274.2,1.624537266,0.996619211,1.630048115,0.77769766
0,1,110,62,23.8328,4462295.824,187233.3853,1.624205231,0.996619211,1.629714953,0.77753867
0,5,21,34,13.0696,4168779.297,318967.6269,1.622977355,0.996619211,1.628482912,0.77695072
0,5,119,34,13.0696,2445206.656,187091.1624,1.622971482,0.996619211,1.628477019,0.7769479
0,5,30,28,10.7632,3432861.992,318944.3653,1.622858994,0.996619211,1.62836415,0.77689404
0,1,16,63,24.2172,4527407.424,186950.0778,1.621747606,0.996619211,1.627248991,0.77636187
0,4,20,48,18.4512,5878730.148,318609.6378,1.621155827,0.996619211,1.626655205,0.7760785
0,1,68,17,6.5348,1221129.543,186865.6337,1.621015073,0.996619211,1.626513974,0.7760111
0,6,111,1,0.3844,122408.4531,318440.3047,1.620294224,0.996619211,1.625790679,0.77566593
0,1,73,31,11.9164,2223812.82,186617.8393,1.618865516,0.996619211,1.624357124,0.77498181
0,13,56,17,6.5348,2078403.477,318051.5818,1.618316316,0.996619211,1.623806062,0.77471884
0,10,81,30,11.532,2150987.035,186523.3294,1.618045665,0.996619211,1.623534493,0.77458924
0,9,140,13,4.9972,1586900.617,317557.9559,1.615804639,0.996619211,1.621285864,0.77351615
0,10,160,17,6.5348,1216599.395,186172.3992,1.615001429,0.996619211,1.620479929,0.77313155
0,1,71,4,1.5376,286246.9297,186164.7566,1.61493513,0.996619211,1.620413406,0.7730998
0,7,94,42,16.1448,3004680.805,186108.2704,1.614445127,0.996619211,1.61992174,0.77286517
0,6,47,25,9.61,3047054.695,317071.2482,1.613328163,0.996619211,1.618800988,0.77233032
0,1,105,29,11.1476,2070115.668,185700.5694,1.610908417,0.996619211,1.616373033,0.77117166
0,9,88,23,8.8412,2798695.977,316551.5967,1.610684062,0.996619211,1.616147917,0.77106423
0,4,51,20,7.688,2432663.508,316423.4531,1.61003204,0.996619211,1.615493683,0.77075202
0,9,34,35,13.454,2496390.09,185550.029,1.609602514,0.996619211,1.615062701,0.77054634
0,1,56,18,6.9192,1283653.418,185520.4963,1.609346325,0.996619211,1.614805642,0.77042367
0,9,37,45,17.298,3206991.236,185396.6491,1.60827198,0.996619211,1.613727653,0.76990924
0,6,11,13,4.9972,926388.3203,185381.4777,1.608140372,0.996619211,1.613595598,0.76984622
0,7,1,65,24.986,7894951.492,315975.0057,1.607750241,0.996619211,1.613204144,0.76965941
0,9,13,25,9.61,3031809.266,315484.8351,1.605256145,0.996619211,1.610701587,0.76846514
0,9,46,65,24.986,7880183.328,315383.9481,1.60474281,0.996619211,1.610186511,0.76821934
0,1,28,23,8.8412,1634211.418,184840.4536,1.603447116,0.996619211,1.608886421,0.76759891
48,1,14,39,14.9916,2770943,184833,1.603383,0.996619,1.608822,0.76756817
0,6,53,29,11.1476,2059757.691,184771.4029,1.602848118,0.996619211,1.608285392,0.76731209
0,6,69,20,7.688,2421501.219,314971.5425,1.6026444,0.996619211,1.608080982,0.76721454
0,7,35,129,49.5876,15617712.93,314951.9825,1.602544874,0.996619211,1.607981119,0.76716688
0,6,76,62,23.8328,7504609.352,314885.7604,1.602207922,0.996619211,1.607643023,0.76700554
0,6,31,347,133.3868,41964448.01,314607.2026,1.600790558,0.996619211,1.606220852,0.76632685
0,9,22,33,12.6852,2340689.26,184521.2736,1.600678305,0.996619211,1.606108218,0.7662731
0,1,42,21,8.0724,1488457.02,184388.4123,1.599525765,0.996619211,1.604951768,0.76572122
0,6,52,25,9.61,3020317.703,314289.043,1.599171692,0.996619211,1.604596494,0.76555168
0,1,17,24,9.2256,1700156.113,184286.7795,1.598644125,0.996619211,1.604067137,0.76529906
0,9,43,70,26.908,8452635.648,314130.9517,1.598367289,0.996619211,1.603789362,0.7651665
0,8,87,58,22.2952,4107392.711,184227.6683,1.598131349,0.996619211,1.603552622,0.76505352
0,5,2,19,7.3036,1344710.654,184116.1419,1.597163884,0.996619211,1.602581875,0.76459027
0,9,86,51,19.6044,6150636.531,313737.5554,1.596365602,0.996619211,1.601780885,0.76420802
0,5,67,23,8.8412,2771757.07,313504.6227,1.595180389,0.996619211,1.600591652,0.76364049
0,5,63,150,57.66,18069484.01,313379.8822,1.594545682,0.996619211,1.599954792,0.76333657
0,7,139,206,79.1864,24806341.8,313265.1794,1.593962049,0.996619211,1.599369179,0.76305711
0,5,38,20,7.688,2407624.727,313166.5877,1.593460393,0.996619211,1.598865821,0.7628169
0,7,120,58,22.2952,6980362.563,313088.1339,1.593061203,0.996619211,1.598465277,0.76262575
0,1,48,14,5.3816,987767.8125,183545.3792,1.592212652,0.996619211,1.597613848,0.76221943
0,9,91,28,10.7632,1974302.227,183430.7851,1.591218576,0.996619211,1.5966164,0.76174343
48,1,72,255,98.022,30653872,312724.4,1.59121,0.996619,1.596608,0.76173942
