Gene ,A1,A2,A3,B1,B2,B3,C1,C2,C3
Psrc1,42,73,75,7,2,4,4,0,4
Pstk,158,125,108,29,33,60,29,38,26
Pstpip1,2,5,0,0,0,1,1,1,3
Pstpip2,434,425,332,317,343,494,300,351,235
Ptafr,979,848,629,262,182,224,143,115,96
Ptar1,274,265,218,140,115,141,121,109,90
Ptbp1,7421,8241,7406,15843,15214,18293,9312,9817,7410
Ptbp2,96,69,59,158,195,228,180,181,185
Ptbp3,2396,2135,1966,3838,3581,5976,2474,2376,1796
Ptcd1,323,315,289,164,164,174,77,59,76
Ptcd2,213,175,158,21,38,61,14,17,24
Ptcd3,1570,1433,1244,469,415,480,284,279,166
Ptch1,273,265,239,90,104,106,116,119,109
Ptch2,4,5,0,17,12,27,5,3,8
Ptchd1,0,0,0,0,0,0,0,0,0
Ptdss1,2313,2332,1903,761,836,1088,698,608,534
Ptdss2,432,481,372,288,294,366,384,327,358
Pten,1640,1613,1291,1666,1492,2124,1501,1522,996
Pter,298,348,189,43,30,40,33,55,27
Ptf1a,0,0,0,0,0,0,0,0,0
Ptgdr,0,0,0,0,0,0,0,0,0
Ptgdr2,0,0,0,1,2,0,0,0,1
Ptgdrl,0,0,0,0,0,0,0,0,0
Ptgds,0,0,0,0,0,0,0,0,0
Ptger1,137,82,53,145,132,119,231,204,150
Ptger2,0,0,0,0,0,0,0,0,0
Ptger3,2,1,2,2,2,0,0,1,1
Ptger4,159,127,43,73,89,87,216,226,209
Ptges,1451,1222,991,1682,1517,1714,1114,1037,820
Ptges2,842,762,553,235,231,217,242,194,251
Ptges3,6948,7130,6274,4176,4250,5039,2718,2609,2142
Ptges3l1,18,20,28,62,48,55,22,27,21
Ptgfr,0,0,0,0,0,0,0,0,0
Ptgfrn,8850,10764,8642,2248,2228,2571,2567,2539,1951
Ptgir,1,0,0,0,1,0,0,0,0
Ptgis,0,0,0,0,0,0,0,0,0
Ptgr1,9888,8461,4914,1148,1236,1357,1307,1108,1227
Ptgr2,1089,1045,777,318,263,391,362,336,226
Ptgs1,2343,2889,2002,1455,1560,1522,1223,1441,1006
Ptgs2,159,183,146,331,251,359,393,529,263
Pth,0,0,0,0,0,0,0,0,0
Pth1r,0,0,0,0,2,1,0,0,1
Pth2,0,0,0,0,3,0,1,0,2
Pth2r,0,0,0,0,0,0,0,0,0
Pthlh,168,193,223,315,300,263,146,96,150
Ptk2,2244,2655,2416,1708,1755,2304,2054,1901,1484
Ptk2b,3131,3231,2647,1337,1448,1617,1223,1164,885
Ptk6,378,482,368,192,188,271,239,226,223
Ptk7,4034,4445,3360,1561,1531,1737,2287,1969,1997
Ptma,20168,20772,21005,22360,20186,25750,13874,13103,10577
Ptms,900,1068,991,1004,1032,1031,1260,1171,974
Ptn,1,0,0,0,0,0,0,0,1
Ptov1,1124,1149,771,719,801,798,921,937,819
Ptp4a1,996,1008,919,1089,1016,1269,1082,1109,733
Ptp4a2,5174,5385,4744,8349,7075,9961,6021,5795,4190
Ptp4a3,131,97,64,4,6,0,28,15,16
Ptpdc1,46,42,40,0,1,0,2,5,0
Ptpmt1,327,357,293,244,244,204,243,169,272
Ptpn1,5022,5325,3844,2048,1906,2115,2016,2122,1748
Ptpn11,4399,4679,3682,3469,3292,4309,2680,2523,2182
Ptpn12,2569,2572,2262,5559,5383,7295,4196,4535,3027
Ptpn13,6947,6753,5331,2028,1876,2453,2764,2857,1919
Ptpn14,1189,1144,871,616,491,634,643,658,498
Ptpn18,164,104,70,72,93,105,89,100,95
Ptpn2,837,882,802,854,752,999,803,761,448
Ptpn20,0,0,0,0,0,0,0,0,0
