Gene ,A1,A2,A3,B1,B2,B3,C1,C2,C3
A1bg,0,0,0,0,0,0,0,0,0
A1cf,0,0,0,0,0,0,0,0,0
A1i3,0,0,0,0,0,0,0,0,0
A2m,0,0,0,0,0,0,0,0,0
A3galt2,3095,3054,2068,547,507,574,1095,1199,872
A4galt,0,0,0,0,0,0,2,0,0
AA926063,0,0,0,0,0,0,0,0,0
Aaas,698,916,810,333,356,474,282,235,258
Aacs,3229,3333,2263,2120,2135,2379,2792,2645,2121
Aadac,0,0,0,0,0,0,0,0,0
Aadacl2,0,0,0,0,0,0,0,0,0
Aadacl3,0,0,0,0,0,0,0,0,0
Aadat,0,0,0,0,0,0,0,0,0
Aaed1,145,200,147,79,75,102,88,83,57
Aagab,2057,2108,1641,622,631,768,997,951,901
Aak1,302,325,325,353,310,409,296,265,234
Aamdc,24,17,14,2,3,6,4,1,11
Aamp,3592,3647,2300,4722,4515,4440,4378,3460,3812
Aanat,5,1,0,10,0,0,1,0,1
Aar2,639,593,514,408,356,537,368,315,305
Aard,2,3,1,2,0,0,5,0,0
Aars,6681,7330,6893,6612,6340,7688,5502,5084,4365
Aars2,380,402,355,165,219,219,202,142,127
Aarsd1,1088,1169,1000,361,322,421,336,295,308
Aasdhppt,2153,1986,1409,458,383,554,702,598,482
Aass,4,4,4,0,0,0,2,0,1
Aatf,1038,867,687,434,408,457,449,387,291
Aatk,0,0,0,1,0,5,0,8,0
Abat,2,1,0,2,1,17,2,4,2
Abca1,0,0,1,1,1,0,2,0,1
Abca13,0,0,0,0,0,0,0,0,0
Abca15,0,0,0,0,0,0,0,0,0
Abca17,4,2,0,0,2,0,5,0,0
Abca2,537,581,484,330,285,445,743,685,549
Abca4,0,5,1,0,2,10,0,2,1
Abca5,260,319,265,277,300,424,365,377,289
Abca7,968,915,633,1014,962,1211,1267,1129,1114
Abca8a,0,0,0,0,0,0,0,0,0
Abcb10,530,486,417,403,392,491,464,314,294
Abcb11,2,4,5,2,0,3,2,6,2
Abcb1a,173,177,93,650,564,830,677,722,472
Abcb1b,1562,1818,1989,2631,2378,3482,3035,3997,2250
Abcb4,51,53,40,59,65,78,103,171,109
Abcb6,91,96,121,42,27,64,27,17,17
Abcb7,596,515,493,238,190,240,273,258,226
Abcb8,706,736,594,132,149,177,272,245,257
Abcb9,39,54,25,60,47,82,87,75,62
Abcc1,1606,1840,1627,1148,1078,1342,1873,1845,1299
Abcc10,304,282,235,95,100,108,127,77,105
Abcc12,0,0,0,0,0,0,0,0,0
Abcc2,4,11,5,3,0,0,1,0,1
Abcc3,1289,1220,911,1123,1036,1226,1124,986,745
Abcc4,1640,1668,1109,640,572,786,430,394,255
Abcc5,709,822,661,48,42,61,91,109,61
Abcc6,0,0,1,0,0,0,0,0,0
Abcc8,0,0,0,0,0,0,0,0,0
Abcc9,0,0,0,0,0,0,0,0,0
Abcd1,85,79,52,6,21,13,16,16,19
Abcd2,0,0,0,0,0,0,0,0,1
Abcd3,1551,1407,1058,352,329,388,589,583,413
Abcd4,289,378,229,63,97,87,90,94,91
Abce1,5978,5674,4461,2103,1777,2422,2195,2069,1446
Abcf1,5401,4950,4092,3228,3209,3617,3296,3172,2678
Abcf2,3571,3204,2873,1588,1556,2009,1081,1102,890
Abcf3,1365,1196,841,827,880,942,799,674,635
Abcg1,90,137,43,167,155,156,181,130,145
Abcg2,310,350,249,18,12,21,35,20,13
Abcg3,117,112,64,15,24,41,21,13,10
Abcg3l1,6,3,4,0,0,9,0,3,1
Abcg3l2,0,0,0,0,0,0,0,0,0
Abcg3l3,212,237,199,51,66,99,29,46,34
Abcg3l4,4,6,13,1,5,2,1,2,0
Abcg4,15,16,19,18,15,13,11,20,3
Abcg5,0,0,0,0,0,0,0,0,0
Abcg8,0,0,0,0,0,0,0,0,0
Abhd1,134,182,117,55,60,86,53,75,61
Abhd10,0,0,0,0,0,0,0,0,0
Abhd11,316,362,299,237,196,280,186,213,160
Abhd12,846,1005,822,539,523,607,1029,936,1030
Abhd12b,94,158,94,70,75,78,13,8,4
Abhd13,809,758,587,824,795,975,695,554,451
Abhd14a,53,44,49,3,6,14,13,7,4
Abhd14b,498,458,320,201,231,220,277,211,167
Abhd15,1,5,0,1,1,0,1,5,4
Abhd16a,676,646,511,491,514,577,557,442,520
Abhd16b,0,0,2,0,0,0,0,0,0
Abhd17a,1908,1884,1403,1027,947,1176,1151,1029,1060
Abhd17b,205,269,203,992,766,1190,950,680,690
Abhd17c,1695,1457,1074,2222,2044,2674,1985,1716,1526
Abhd2,957,904,757,663,665,736,604,532,472
Abhd3,89,118,87,18,19,12,38,35,23
Abhd4,2332,2659,2363,1608,1389,1699,1611,1737,1356
Abhd5,640,525,450,803,697,956,774,751,576
Abhd6,512,536,516,1197,1133,1565,1706,1376,1150
Abhd8,710,666,548,158,158,188,179,134,191
Abi1,2519,2538,2044,4444,4135,5487,2990,3041,2040
Abi2,272,325,280,39,56,74,99,75,68
Abi3,2,0,0,2,0,0,0,0,1
Abl1,1039,995,835,1029,862,1157,646,559,454
Abl2,288,279,212,762,650,889,983,998,944
Ablim2,3,1,1,0,0,0,1,0,0
Ablim3,0,1,0,0,0,0,0,0,0
Abo,0,2,2,0,0,0,0,0,0
Abo2,0,0,0,0,0,0,0,0,0
Abr,966,1100,819,481,487,609,683,545,448
Abra,0,0,0,0,0,0,0,0,0
Abracl,1626,1724,1226,1121,1052,1292,1488,1320,1134
Abt1,402,334,283,319,362,422,150,143,127
Abtb1,149,203,175,166,203,241,214,170,170
Abtb2,301,267,265,3203,2895,3877,2901,2655,2265
Ac1576,58,54,54,39,16,26,32,46,33
Acaa1a,570,593,461,330,258,306,374,314,418
Acaa1b,0,1,0,0,4,0,0,0,0
Acaa2,1563,1413,1106,339,291,429,355,390,343
Acaca,1565,1463,1066,227,206,256,387,360,260
Acacb,6,0,0,6,8,10,1,0,2
Acad10,194,250,206,46,39,38,105,99,75
Acad11,554,517,499,198,220,296,246,224,171
Acad9,1428,1532,1141,352,298,515,353,310,253
Acadl,789,835,707,803,764,1003,946,894,678
Acadm,363,310,221,111,123,193,166,130,141
Acads,522,455,368,345,384,414,562,514,552
Acadsb,14,9,6,9,24,14,15,14,16
Acadvl,1129,1163,854,779,746,877,1124,894,967
Acan,0,2,2,3,0,0,0,0,0
Acap1,466,484,381,675,653,745,572,452,525
Acap2,1044,1078,971,1400,1219,1980,679,770,454
Acap3,515,497,430,160,185,251,269,238,205
Acat1,799,714,675,184,138,299,211,207,120
Acat2,3694,4621,3646,944,863,1099,1334,1470,1104
Acbd3,1481,1661,1378,1161,925,1275,929,931,719
Acbd4,104,73,83,118,97,153,91,87,109
Acbd5,254,279,227,243,179,268,376,239,208
Acbd6,828,885,650,287,297,322,280,255,263
Acbd7,0,0,0,0,0,0,0,0,0
Accs,120,123,97,17,13,10,14,13,23
Accsl,27,74,61,1,1,2,6,10,2
Acd,732,724,568,412,404,501,320,334,240
Ace,50,44,49,47,47,76,57,67,37
Ace2,0,0,0,0,0,3,3,0,0
Ace3,0,0,0,0,0,0,0,0,0
Acer1,0,3,5,1,0,0,1,0,1
Acer2,249,345,193,262,214,264,131,94,91
Ache,4,2,2,0,5,3,1,0,3
Acin1,2552,3191,2607,4946,4694,4770,3247,2925,2667
Ackr2,0,0,0,0,0,0,0,0,0
Ackr3,806,743,566,437,390,418,128,98,94
Acly,8649,8790,6657,3920,3786,4678,4305,4172,3313
Acmsd,0,1,0,0,2,0,0,0,0
Acnat2,0,0,0,0,0,0,0,0,0
Aco1,1207,1422,1077,212,170,282,296,261,216
Aco2,6561,7323,5924,3081,2642,3129,3404,3116,2851
Acot1,0,0,0,1,0,0,0,0,0
Acot11,72,72,75,7,22,38,11,18,13
Acot12,0,0,0,0,0,0,3,0,0
Acot13,172,136,113,6,16,13,17,31,12
Acot2,47,31,33,32,20,16,14,9,16
Acot3,88,81,61,14,27,27,4,3,13
Acot4,6,3,0,0,0,0,1,0,0
Acot5,0,0,0,0,0,0,0,0,0
Acot6,3,5,1,0,1,4,0,0,1
Acot7,809,794,559,572,455,687,1424,1020,1099
Acot8,159,171,161,68,118,116,94,139,96
Acot9,1543,1402,1149,669,652,929,910,955,672
Acox1,881,883,687,1060,920,1291,1307,1207,886
Acox2,0,2,0,0,0,0,0,0,0
Acox3,401,484,332,288,339,447,264,336,204
Acoxl,0,1,0,0,1,0,0,5,4
Acp1,1101,975,773,420,367,466,437,367,376
Acp2,293,266,192,78,107,112,91,34,59
Acp5,1160,1214,983,1262,1027,1522,1064,935,1005
Acp6,398,400,248,131,108,119,93,124,79
Acpp,952,1228,995,760,714,1102,3323,3019,2836
Acpt,5,2,5,21,13,8,19,0,2
Acr,0,0,0,0,0,0,0,0,0
Acrbp,25,36,12,73,73,72,33,25,36
Acrv1,0,1,0,0,0,0,3,0,0
Acsbg1,2,2,4,2,3,0,0,0,1
Acsbg2,1,0,0,0,2,4,9,3,4
Acsf2,38,24,23,16,15,31,15,8,12
Acsl1,674,635,641,473,384,520,489,564,323
Acsl3,1386,1279,1108,2234,1880,2519,2197,1829,1279
Acsl4,4075,4437,3329,2178,2091,2728,2231,2240,1510
Acsl5,4661,4615,3762,2475,2545,2627,2311,2294,1815
Acsl6,4,0,1,0,0,0,0,0,0
Acsm1,1,0,0,0,3,0,1,0,0
Acsm2a,0,0,0,0,0,0,0,0,0
Acsm3,14,22,4,3,0,6,5,0,2
Acsm4,0,3,0,0,0,0,0,4,0
Acsm5,0,0,0,0,0,0,0,0,0
Acss1,0,0,1,0,0,0,0,0,0
Acss2,591,685,634,133,115,91,158,122,92
Acss3,3,0,1,0,0,0,0,0,0
Acta1,0,2,0,1,0,7,2,1,0
Acta2,5,0,0,0,0,0,3,0,0
Actb,90215,95472,75592,51562,50548,68380,106267,100405,96607
Actbl2,0,0,0,0,0,0,0,0,0
Actc1,0,0,0,0,0,0,0,0,0
Actg1,100299,107514,78639,69776,70544,93888,98987,98280,77384
Actg2,0,0,0,0,0,0,0,0,0
Actl11,0,0,2,4,9,0,1,1,0
Actl6a,1323,1243,997,785,809,1067,430,454,345
Actl6b,0,0,0,0,0,0,0,0,0
Actl7a,4,2,6,7,5,7,3,2,1
Actl7b,2,11,8,0,7,6,0,1,0
Actl9,0,0,0,0,0,0,0,0,0
Actl9b,0,0,0,0,0,0,0,0,0
Actn1,27202,29991,23345,18188,18099,22028,33429,31444,26466
Actn2,0,0,0,0,0,0,0,0,0
Actn3,4,0,0,8,9,2,0,0,0
Actn4,37878,40390,29792,21247,20389,23393,35026,32934,30014
Actr10,2212,2023,1477,1526,1374,1789,1562,1314,1333
Actr1a,4372,4456,3327,3073,3304,4001,3688,3246,3146
Actr1b,1928,1942,1603,867,768,954,1374,1201,1147
Actr2,7783,8507,7076,9308,8366,11285,12304,11239,9689
Actr3,11914,11633,9158,11975,11546,15378,14073,12328,9921
Actr3b,84,39,25,27,24,44,54,48,51
Actr5,245,266,235,216,194,275,133,92,127
Actr6,570,464,397,340,276,447,218,265,178
Actr8,849,799,635,604,540,729,642,518,517
Actrt1,0,0,0,0,0,0,0,0,0
Actrt2,0,0,0,0,0,0,0,0,0
Actrt3,10,3,7,0,2,3,2,1,8
Acvr1,473,560,452,397,382,516,187,206,147
Acvr1b,456,482,428,726,548,922,588,511,492
Acvr1c,0,0,0,0,0,0,1,1,0
Acvr2a,268,262,229,386,295,384,348,368,233
Acvr2b,7,2,6,2,9,12,7,19,13
Acvrl1,0,0,1,1,0,0,0,0,0
Acy1,1816,1657,1122,900,911,1107,647,471,514
Acy3,0,0,0,0,0,0,0,0,0
Acyp1,115,120,93,38,23,18,29,18,28
Acyp2,23,16,8,1,2,0,2,0,4
Ada,409,358,372,126,110,99,76,111,108
Adad1,0,0,0,0,0,0,0,0,0
Adal,41,28,35,3,16,14,16,16,3
Adam10,1585,1518,1283,3030,2913,3921,3087,2635,2170
Adam11,0,0,0,0,0,1,0,0,0
Adam15,1480,1585,1087,668,784,804,799,793,626
Adam17,2175,2339,2068,2906,2765,3978,1671,1679,1219
Adam19,12,29,6,37,31,42,15,8,8
Adam1a,32,38,26,26,40,33,4,2,6
Adam2,0,0,0,4,0,0,0,0,1
Adam23,1,0,0,0,0,0,0,0,0
Adam26a,0,0,0,0,0,0,0,0,0
Adam28,107,149,162,131,96,128,130,179,81
Adam30,0,0,0,0,0,8,0,0,0
Adam32,33,30,25,6,3,0,9,7,6
Adam34,0,0,0,0,0,0,0,0,0
Adam3a,0,0,0,0,0,0,0,0,0
Adam4,15,23,9,0,1,0,1,2,1
Adam4l1,7,12,7,0,0,0,0,0,0
Adam5,0,0,0,0,0,0,0,0,0
Adam6,0,0,0,0,0,0,0,0,0
Adam7,0,0,0,0,0,2,2,0,0
Adam9,584,705,671,759,658,843,1389,1343,958
Adamdec1,23,35,34,18,21,58,21,31,9
Adamts1,21,20,11,32,26,6,52,44,52
Adamts10,77,137,95,22,35,36,36,36,20
Adamts12,0,0,0,0,0,0,0,0,0
Adamts14,1,0,0,0,0,0,0,0,0
Adamts15,7,1,0,8,12,31,13,9,34
Adamts18,0,0,0,0,0,0,0,0,0
Adamts19,0,0,0,0,0,0,0,0,0
Adamts2,5,2,3,3,0,0,0,0,1
Adamts3,102,102,74,183,120,189,469,398,305
Adamts4,0,0,0,14,11,2,0,0,0
Adamts5,0,0,2,0,0,0,0,0,1
Adamts7,31,26,23,23,13,18,60,37,48
Adamts9,3,12,2,138,126,227,64,57,60
Adamtsl3,3,0,0,0,0,7,2,3,1
Adamtsl4,139,234,159,133,100,53,109,87,49
Adamtsl5,458,603,413,290,324,440,307,288,304
Adap1,78,42,39,115,118,163,237,188,175
Adap2,3,0,0,4,4,4,0,0,0
Adar,997,1119,939,473,482,574,481,456,329
Adarb1,998,1065,972,583,491,558,244,217,159
Adarb2,0,0,0,0,0,0,0,0,0
Adat1,172,195,108,25,22,49,20,13,15
Adat2,316,257,235,97,92,108,77,92,66
Adat3,87,90,88,138,114,144,80,127,85
Adck1,146,112,100,20,19,7,22,17,21
Adck2,300,331,250,103,164,216,166,100,98
Adck3,36,41,42,2,5,0,2,0,7
Adck4,438,462,280,383,359,432,434,411,362
Adck5,384,357,323,214,181,197,137,123,109
Adcy1,0,0,0,0,0,0,0,0,1
Adcy10,0,0,0,0,0,0,2,2,0
Adcy2,16,33,40,2,1,0,17,19,12
Adcy3,4748,4632,3241,1611,1479,1803,2686,2403,2246
Adcy4,3,0,2,1,1,9,0,0,0
Adcy5,20,23,11,5,7,8,3,3,4
Adcy6,1193,1187,928,517,557,646,886,908,700
Adcy7,11,1,1,6,5,5,3,5,4
Adcy8,0,0,0,3,5,0,7,13,1
Adcyap1,0,0,0,0,0,0,0,0,0
Adcyap1r1,0,0,0,0,0,0,0,0,0
Add1,6692,6843,5232,3397,3415,4297,6076,5832,4781
Add2,7,7,14,0,1,0,5,4,3
Add3,506,542,487,131,119,163,106,80,76
Adgrb2,9,7,2,0,0,1,0,0,1
Adgrb3,0,0,0,0,0,0,0,0,0
Adgre1,0,0,0,0,0,0,0,1,0
Adgre5,137,113,121,309,322,365,92,79,76
Adgrf3,0,0,0,1,0,0,2,0,1
Adgrf5,5,0,5,0,0,0,0,0,0
Adgrg1,609,608,566,544,487,667,487,387,340
Adgrg2,71,99,67,25,23,39,32,22,16
Adgrg5,0,0,1,0,0,0,0,0,0
Adgrg7,0,0,0,0,0,0,0,0,0
Adgrl1,369,434,337,133,125,148,115,134,100
Adgrl2,350,365,360,1685,1424,2179,919,787,606
Adgrl3,0,0,3,0,0,0,71,57,54
Adgrl4,0,0,0,0,0,0,0,0,0
Adh1,0,0,0,0,0,0,0,0,0
Adh4,0,0,0,0,0,0,0,0,0
Adh5,1504,1203,891,277,225,377,230,193,188
Adh6,0,0,0,0,0,0,0,0,0
Adh6a,0,0,0,0,0,0,0,0,0
Adh7,31,17,6,4,0,2,0,0,0
Adhfe1,16,12,11,4,4,5,2,5,1
Adi1,298,360,238,93,54,71,52,68,51
Adipoq,0,0,0,0,0,0,0,0,0
Adipor1,3834,3908,3216,4764,4429,5756,5759,5007,5067
Adipor2,2832,2740,2248,4122,4002,5200,5006,3945,4151
Adk,1247,1448,1219,176,141,263,250,197,152
Adm,6206,4631,2464,7353,6466,7587,13015,12410,11732
Adm2,502,597,492,212,171,229,189,196,171
Adnp,1958,2040,1838,2981,2778,3793,2297,2173,1534
Adnp2,982,935,730,622,692,753,803,975,645
Ado,185,166,155,95,99,108,104,64,79
Adora1,0,0,0,0,0,0,0,0,0
Adora2a,11,13,22,22,21,41,13,10,8
Adora2b,168,178,134,20,19,27,40,16,29
Adora3,0,0,0,0,0,0,0,0,0
Adpgk,900,1051,939,206,206,241,258,258,208
Adprh,694,725,578,379,366,398,701,613,564
Adprhl1,0,4,0,4,0,0,0,0,0
Adprhl2,1181,1413,1052,123,131,151,171,160,130
Adprm,233,254,171,176,205,232,97,127,78
Adra1a,0,0,0,0,0,0,0,0,0
Adra1b,0,0,0,0,0,1,0,0,0
Adra1d,0,0,0,2,0,0,0,0,0
Adra2a,0,2,0,19,10,7,14,10,8
Adra2b,2,1,0,0,7,2,1,2,0
Adra2c,0,0,0,0,0,0,0,0,0
Adrb1,2,0,2,4,12,10,7,12,0
Adrb2,80,57,31,206,146,180,79,103,48
Adrb3,2,0,0,0,0,0,0,0,0
Adrbk1,2814,2951,2437,2180,2102,2810,2267,2037,1731
Adrbk2,0,0,0,0,0,0,0,0,0
Adrm1,2138,2193,1826,2588,2483,2899,1979,1808,1588
Adsl,1789,1638,1292,522,498,709,561,549,411
Adss,3348,3230,2513,1139,1008,1303,1015,1014,765
Adtrp,67,55,28,2,17,8,10,9,6
Aebp1,465,863,789,92,102,128,169,149,139
Aebp2,548,601,435,529,486,593,346,323,248
Aen,2049,1982,1565,1771,1571,1509,2862,2920,2614
Aes,7390,8393,6180,4542,4500,4421,6456,5708,5678
Afap1,2143,2212,2009,1063,974,1235,1561,1500,1039
Afap1l1,2,2,4,1,0,0,1,0,0
Afap1l2,296,229,144,100,109,86,62,87,46
Aff1,977,931,717,977,907,1119,1127,1135,874
Aff3,16,22,13,7,7,0,10,1,7
Aff4,3340,3267,2928,5416,4736,6694,4666,4751,3348
Afg3l1,2368,2531,1746,1243,1053,1183,1502,1372,1185
Afg3l2,2035,1654,1340,1512,1509,1715,1255,1143,852
Afm,0,0,0,1,0,0,1,1,0
Afmid,24,44,49,0,0,0,4,0,0
Afp,0,0,0,0,0,0,0,0,0
Aftph,1739,1672,1503,2038,2019,2729,1870,1709,1341
Aga,707,800,632,585,564,713,858,808,638
Agap1,1206,1045,745,415,431,613,346,316,290
Agap2,0,0,0,1,5,1,2,0,3
Agap3,1575,1441,1356,952,924,1250,1015,1050,905
Agbl4,0,0,0,0,0,0,0,0,0
Agbl5,103,97,124,47,50,52,32,37,43
Ager,13,38,24,52,48,34,34,25,8
Agfg1,5796,5066,4135,3461,3180,4876,3179,3210,2460
Agfg2,357,364,281,54,62,116,106,120,93
Agk,414,334,330,115,104,131,113,91,76
Agl,523,579,428,360,315,451,421,355,287
Agmat,3,0,0,0,2,0,0,0,0
Agmo,0,0,0,0,0,0,0,0,0
Ago1,728,671,578,286,231,392,241,226,170
Ago2,765,677,531,739,720,1166,1027,1103,724
Ago3,88,93,90,139,96,108,88,114,94
Ago4,20,19,22,14,18,10,12,19,19
Agpat1,2735,2831,2131,1375,1370,1652,1883,1863,1807
Agpat2,646,657,580,716,607,954,654,614,601
Agpat3,563,588,386,305,308,268,305,324,280
Agpat4,1269,1372,1025,885,1126,1088,1063,1072,941
Agpat5,1837,1984,1679,671,607,823,907,934,684
Agpat6,3482,3441,2715,3531,3040,4139,2234,1999,1847
Agpat9,361,385,350,2241,2105,3068,1176,1083,1021
Agps,2329,2250,2008,1471,1361,1700,1425,1316,950
Agr2,0,0,0,0,0,0,0,0,0
Agr3,0,0,0,0,0,0,0,0,0
Agrn,12755,15891,11660,4622,4533,5325,10835,12245,9604
Agrp,0,0,0,0,0,0,0,1,0
Agt,5,1,10,2,9,4,1,1,7
Agtpbp1,251,236,260,132,127,206,110,114,74
Agtr1a,0,0,0,0,0,0,0,0,0
Agtr1b,0,0,0,0,0,0,0,0,0
Agtr2,0,0,0,0,0,0,0,0,0
Agtrap,552,588,465,250,238,392,223,210,281
Agxt,0,0,0,0,0,0,0,0,0
Agxt2,0,0,0,0,0,0,0,1,0
Ahctf1,2326,2434,2258,2484,2352,3281,1655,1532,1208
Ahcy,3806,4569,3758,2340,2403,2822,2257,2000,1881
Ahcyl1,4429,4852,3856,3689,3507,4288,3580,3323,2660
Ahcyl2,1889,1864,1329,664,493,716,620,457,393
Ahdc1,1109,1165,835,1614,1432,1716,1699,1707,1390
Ahi1,579,467,331,127,140,203,127,107,85
Ahnak,28141,29003,18757,34745,28767,33413,24716,26824,24666
Ahr,924,873,673,528,384,553,349,403,209
Ahrr,13,17,3,4,1,2,0,3,7
Ahsa1,4538,4303,3180,1598,1365,1544,1362,1364,1126
Ahsa2,751,817,651,979,937,1149,753,752,601
Ahsg,0,0,0,0,0,0,0,0,0
Ahsp,0,1,1,0,1,0,1,0,2
aicda,2,0,0,0,1,0,0,0,0
Aida,2541,2656,2850,1108,1060,1301,1410,1437,977
Aif1,0,1,3,0,0,0,0,0,0
Aif1l,394,451,330,120,107,156,304,249,231
Aifm1,2105,2083,1676,680,671,711,649,607,506
Aifm2,520,622,445,106,132,147,129,123,104
Aifm3,39,32,15,52,52,75,42,23,16
Aig1,625,695,642,248,358,311,255,338,257
Aimp1,2534,2055,1548,924,906,1268,720,715,537
Aimp2,1768,1743,1385,777,705,962,546,537,486
Aip,593,548,460,718,583,810,576,527,541
Aipl1,0,0,0,0,0,0,0,0,0
Aire,1,2,1,0,0,0,0,0,0
Ajap1,0,0,0,0,0,0,0,0,0
Ajuba,4707,4716,3489,2108,2019,2517,2950,3018,2261
Ak1,262,291,176,45,37,64,74,30,47
Ak2,2206,2484,1964,1927,1821,1801,880,788,763
Ak3,2135,2416,1776,878,967,1081,1047,1303,951
Ak4,482,447,329,1055,894,1183,680,543,526
Ak6,605,518,428,341,311,380,483,374,323
Ak7,0,2,0,0,1,0,0,0,0
Ak8,0,5,1,0,0,0,2,2,0
Akap1,804,703,551,81,63,80,144,137,104
Akap10,730,811,680,792,718,1020,605,452,428
Akap11,822,877,756,268,187,297,350,372,278
Akap12,29,52,59,192,137,133,215,194,116
Akap13,1194,1061,802,813,771,953,762,680,496
Akap14,10,7,6,0,2,4,7,3,2
Akap17a,936,944,774,1155,1007,1031,743,663,689
Akap2,33,12,9,74,50,74,26,22,25
Akap3,7,0,0,0,0,0,0,0,0
Akap4,0,0,0,0,0,3,0,0,0
Akap5,0,0,1,0,0,0,0,0,0
Akap6,0,2,1,15,17,14,8,8,0
Akap7,74,80,62,12,12,17,20,12,10
Akap8,2030,2181,1781,1456,1332,1744,1239,1059,1079
Akap8l,491,556,473,458,432,449,425,445,447
Akap9,1566,1501,1267,1056,1014,1380,1067,966,808
Akip1,305,374,235,172,110,132,75,69,76
Akirin1,1941,2003,1528,3192,3138,4421,2257,2176,1707
Akirin2,1219,1068,955,2073,2032,2623,1734,1533,1356
Akna,16,27,5,45,42,36,11,12,11
Aknad1,3,12,2,0,0,3,0,0,0
Akp3,0,0,0,0,0,0,0,0,0
Akr1a1,8921,9963,7288,4694,4725,4903,4960,4617,4529
Akr1b1,3836,3438,2837,1775,1537,2298,944,1060,755
Akr1b10,114,101,44,245,158,267,122,100,117
Akr1b7,0,0,0,1,0,0,2,1,0
Akr1b8,37896,28715,16901,74708,69409,86677,41264,35061,35588
Akr1c1,0,0,0,0,0,0,0,0,0
Akr1c12,0,0,0,0,0,0,1,0,0
Akr1c12l1,0,1,0,0,0,0,0,0,0
Akr1c13,0,0,0,0,0,0,0,0,0
Akr1c14,0,0,0,0,0,0,0,0,0
Akr1c19,0,0,0,0,0,0,0,0,0
Akr1c2,0,0,0,0,0,0,0,0,0
Akr1c3,0,0,0,0,0,2,1,0,0
Akr1cl,0,0,0,0,0,0,0,0,0
Akr1d1,0,0,0,0,0,0,0,3,0
Akr1e2,93,71,66,6,3,2,6,12,8
Akr7a2,473,456,418,103,110,113,120,112,122
Akr7a3,92,39,26,38,24,44,12,0,11
Akt1,4413,4884,4288,2287,2278,2707,2760,2913,2473
Akt1s1,1274,1280,956,844,742,880,527,602,503
Akt2,2065,1875,1521,1150,1008,1486,1447,1244,1120
Akt3,926,1037,1018,1051,938,1268,1534,1489,1110
Aktip,1240,1032,820,3036,2669,3924,3913,3370,3024
Alad,1278,1105,705,114,129,168,117,100,109
Alas1,808,833,614,817,790,1070,528,489,394
Alas2,0,0,0,0,0,0,0,0,0
Alb,0,0,0,0,0,0,0,0,0
Alcam,3508,3805,3287,4406,3953,5184,5360,5954,3868
Aldh16a1,856,916,769,461,367,448,523,413,405
Aldh18a1,39,43,21,6,4,5,4,13,1
Aldh1a1,1,0,15,0,0,0,0,0,6
Aldh1a2,0,0,0,0,0,0,0,0,0
Aldh1a3,117,140,112,237,174,205,159,148,141
Aldh1a7,0,0,0,0,0,0,0,0,0
Aldh1b1,0,0,0,0,0,0,0,0,0
Aldh1l1,3,3,6,0,0,0,5,3,1
Aldh1l2,0,0,0,3,0,4,0,0,0
Aldh2,4263,4351,3317,2639,2329,2588,2652,2626,2350
Aldh3a1,298,165,193,40,30,26,18,16,11
Aldh3a2,1005,952,785,318,290,487,341,294,257
Aldh3b1,5,12,8,11,3,1,2,9,2
Aldh4a1,463,482,531,91,110,138,219,281,191
Aldh5a1,258,236,162,37,45,45,77,69,75
Aldh6a1,236,320,235,88,86,112,109,126,74
Aldh7a1,1332,1718,1459,568,661,605,931,940,793
Aldh8a1,3,0,0,8,0,0,1,7,1
Aldh9a1,1930,1874,1315,1073,1145,1324,1312,1252,1024
Aldoa,46307,43831,31345,52567,50230,59869,62461,53768,51537
Aldoart2,6,9,1,9,2,5,3,7,5
Aldob,6,0,7,0,1,0,0,0,2
Aldoc,75,51,52,47,49,111,162,100,130
Alg1,221,200,165,66,67,125,90,94,96
Alg10,997,992,818,1349,1170,2115,1533,1439,1225
Alg11,658,628,424,473,407,623,216,240,171
Alg12,783,901,761,346,359,396,666,557,464
Alg13,450,373,288,335,353,532,266,215,221
Alg14,339,356,273,214,247,293,316,310,230
Alg2,487,588,431,107,115,252,207,186,137
Alg3,1022,875,677,406,378,587,429,358,279
Alg5,1098,898,762,177,147,237,207,178,192
Alg6,220,258,179,27,20,49,19,26,14
Alg8,315,285,298,59,48,58,46,40,46
Alg9,788,744,557,207,202,294,303,264,191
Alk,0,0,0,0,0,0,0,0,0
Alkbh1,726,691,616,463,469,680,679,637,474
Alkbh2,151,148,97,7,13,11,19,24,22
Alkbh3,1411,1359,943,921,824,937,884,863,696
Alkbh4,141,157,81,148,139,190,107,122,102
Alkbh5,855,898,718,1199,984,1426,851,633,571
Alkbh6,5,6,2,0,3,4,6,0,0
Alkbh7,193,150,81,141,131,178,133,123,152
Alkbh8,258,230,216,50,52,104,39,25,29
Allc,0,0,0,0,0,0,0,0,0
Alms1,537,633,491,80,76,124,70,27,39
Alox12,13,8,3,41,32,46,24,20,26
Alox12b,0,0,0,8,4,3,10,6,4
Alox12e,0,0,0,0,0,0,0,0,0
Alox15,18,14,35,7,5,11,13,17,8
Alox15b,0,0,0,0,0,0,0,0,0
Alox5,1,11,2,3,0,8,0,2,1
Alox5ap,0,0,0,0,0,0,0,0,1
Aloxe3,337,448,270,1027,927,1339,994,877,839
Alpi,0,0,0,0,0,0,0,0,0
Alpk3,0,2,0,0,0,0,0,0,1
Alpl,0,0,0,3,4,3,26,26,16
Als2,625,799,697,482,406,669,506,456,358
Als2cr11,0,0,0,0,0,0,0,0,0
