"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A3galt2",1290.2146206472,1.13065974426851,0.111904993015848,10.1037470607624,5.31708672681281e-24,2.07029383891183e-22
"Aaas",443.914841698471,-0.391099184204886,0.161826728837787,-2.41677741998306,0.0156585889109273,0.0352940636316824
"Aacs",2525.41245355425,0.358372327126052,0.0886487675043948,4.04260924561964,5.28596709824673e-05,0.000210184193356391
"Aagab",1102.52119076072,0.681194523224384,0.0942673840452653,7.22619525431286,4.96713453190883e-13,6.36460876637866e-12
"Aars",6197.1761110279,-0.287633932234374,0.0862874672685655,-3.33343811493652,0.000857797517899314,0.00268331681836792
"Aasdhppt",856.481167927409,0.531317749257204,0.118213018705378,4.49457898187513,6.97077272416355e-06,3.2717659076316e-05
"Abca2",521.655583308342,1.08439155514795,0.118218922208334,9.17274100365218,4.61141405928186e-20,1.2528996724211e-18
"Abca7",1057.59271006429,0.325886029785255,0.106199450679501,3.06862255595602,0.00215048101540188,0.00606323790625039
"Abcb4",87.4522242335993,1.10768566847839,0.264377010214924,4.18979572988553,2.79205684875056e-05,0.000117082156365126
"Abcb6",49.4934189925915,-0.92551704414512,0.386663987118217,-2.39359514973955,0.0166841532422056,0.0373090731147239
"Abcb7",313.993707816942,0.359142720677338,0.146169907636164,2.45702228649751,0.0140093995363144,0.0321269058632443
"Abcb8",327.098186245311,0.945515496401796,0.150605488323281,6.27809455636972,3.42747459171125e-10,3.07638100934603e-09
"Abcc1",1513.50618828179,0.66161854877233,0.101203720497668,6.53749235224584,6.25588428147054e-11,6.19870684448936e-10
"Abcc4",740.279621620604,-0.719367402237488,0.129420930582736,-5.55835442535016,2.72329955549795e-08,1.88685754916644e-07
"Abcc5",233.611935003683,0.964138858375528,0.211781335950337,4.5525204289089,5.30070118309617e-06,2.53965137273299e-05
"Abcd3",667.899536860594,0.737049775461617,0.118646652339947,6.21214135355304,5.22673757106146e-10,4.58708444926966e-09
"Abcf2",1819.71125723605,-0.563456538020488,0.0842477967582242,-6.68808633224564,2.26107744021113e-11,2.34990548250514e-10
"Abcg3l3",93.6697236807011,-0.785170109972484,0.284673641906686,-2.75814123398842,0.00581310761369263,0.01477732045798
"Abhd12",826.668622341282,1.03415306086431,0.126728115274863,8.16040748827766,3.33896215409672e-16,6.01339470684063e-15
"Abhd12b",58.2646974892937,-3.00215523327273,0.415818925000478,-7.21986194656552,5.20403780963562e-13,6.62176410950261e-12
"Abhd13",711.395314221074,-0.439973113790229,0.108487646465857,-4.05551349045713,5.0024285016497e-05,0.000200447956744595
"Abhd17a",1238.82761890307,0.228520642428612,0.100626530012889,2.27097806512201,0.0231483058380088,0.0496940333831685
"Abhd17c",1869.12365689246,-0.228282953617798,0.0970172167145781,-2.35301487043686,0.0186218893635769,0.0411265932858864
"Abhd3",42.9720345917558,1.11738088866662,0.389889880771783,2.86588840534864,0.0041584080555211,0.0109380771355738
"Abhd6",1154.88168984652,0.297309246612368,0.10620199434851,2.79946952443026,0.00511866480776568,0.0131970611900846
"Abi1",3324.79959838292,-0.629100388261231,0.0844471861491704,-7.44963114756679,9.36015530743496e-14,1.3151791282035e-12
"Abi2",124.9744313889,0.700258255723125,0.243495044333801,2.87586245395269,0.00402925248404614,0.0106354464404348
"Abl1",819.331753529365,-0.701899010184571,0.0984909395042163,-7.1265338082649,1.02927965814602e-12,1.25904584732066e-11
"Abl2",732.154456033636,0.538588440263401,0.110222137232718,4.88639082661091,1.02701233294708e-06,5.55883621034206e-06
"Abr",647.858535789462,0.259931239968856,0.114007654338667,2.27994551310312,0.0226109202504546,0.0487206012731975
"Abracl",1315.52538803382,0.362434064262031,0.0854662744485198,4.2406676387929,2.22855920070846e-05,9.51482920518693e-05
"Abt1",271.304359840241,-1.21257355330525,0.156120183596356,-7.7669236954033,8.04152533619454e-15,1.26311345408578e-13
"Acaa1a",391.60351466473,0.502894807130606,0.17283167943265,2.90973743228929,0.00361732510681686,0.00968766796589508
"Acaca",551.392452021576,0.717851087960293,0.129496270071597,5.54341130878444,2.96634956164856e-08,2.03972366096545e-07
"Acad10",105.934943893793,1.34570833178942,0.251343128013414,5.35406852944715,8.59982652617047e-08,5.54500768083924e-07
"Acads",467.704138859501,0.696961014987962,0.139827229072446,4.98444415734549,6.21401887128292e-07,3.49692726099983e-06
"Acadvl",947.238381759155,0.496701925328875,0.110813117495282,4.48233870281669,7.38294417748593e-06,3.44329804785489e-05
"Acap2",1048.77606089431,-1.0909287100972,0.132842055332735,-8.21222396299659,2.17128794480273e-16,3.98838905209777e-15
"Acap3",284.807162099836,0.441295292959809,0.15045942756645,2.93298532433211,0.00335719760661965,0.00906180806086005
"Acat2",1858.16887035932,0.606700881970223,0.103641889820845,5.85381917503591,4.80410945686266e-09,3.6994319201941e-08
"Acbd5",253.372789025999,0.423111057006379,0.18083861926566,2.33971625488254,0.0192983954098263,0.0424764443554656
"Accsl",16.3889059776349,2.330742737945,0.982113784162236,2.373190128813,0.017635183502952,0.0391743389264048
"Acd",442.299881561218,-0.383560623593403,0.118370899989041,-3.24032869251577,0.00119391986961114,0.00359541555505447
"Acer2",194.536804353424,-1.05561353901114,0.200609994226583,-5.26201868995049,1.42482278592066e-07,8.88645818765409e-07
"Acin1",3606.23076272758,-0.536250182517749,0.108154306205449,-4.95819539075119,7.11509867188065e-07,3.95172079927957e-06
"Ackr3",365.272589864175,-1.79190415411173,0.156489270700645,-11.4506518312015,2.33383905668309e-30,1.40258653743487e-28
"Aco1",486.876582715827,0.405698895727919,0.139268130178584,2.91307778174152,0.00357885445335064,0.00959625910406192
"Aco2",3951.96225343296,0.259829313464006,0.0849722955956266,3.05781209796313,0.00222959333024829,0.00625439955501917
"Acot3",29.8499082594698,-1.53800718182811,0.557880416163666,-2.75687609255835,0.00583564603059456,0.0148312051956595
"Acot7",855.755962517653,1.23671571870654,0.129806606737663,9.52737113917417,1.61316439838236e-21,4.94137726241333e-20
"Acot9",941.079181780975,0.354736185834003,0.106545137622065,3.32944509483218,0.000870192192525966,0.00271517642916257
"Acox1",1041.43966450451,0.231348047354256,0.0944967867788288,2.44821073012492,0.014356766018496,0.0328078360472265
"Acpp",1802.78704430601,2.03033691183871,0.116023389615273,17.4993759324839,1.44847523206679e-68,5.72044254149806e-66
"Acrbp",44.8338989846766,-1.02838523928737,0.367682581970224,-2.79693760247434,0.00515894955191247,0.0132947248065831
"Actb",82659.9048153359,1.02536614600021,0.0773502451218436,13.2561460456271,4.15717250419734e-40,4.25648273624205e-38
"Actg1",88035.9224373629,0.412514347879283,0.0703432922755881,5.86430254448642,4.51024455099118e-09,3.4925969359146e-08
"Actl6a",772.420771467488,-0.931927706518272,0.105225521864228,-8.85647977798329,8.25808604856325e-19,1.94707709008555e-17
"Actn1",25823.2207765998,0.825471151748652,0.0606705333639476,13.6058001467838,3.69897837835655e-42,4.04983197107591e-40
"Actn3",2.69146449991386,-4.99282341493057,1.92828625081545,-2.58925427322793,0.00961840423606147,0.0230067735328505
"Actn4",29826.8204765568,0.770180825085591,0.0718383345756439,10.7210283984884,8.1096566847632e-27,3.86536998362549e-25
"Actr1b",1260.41106625202,0.705215910943253,0.0888185489414776,7.93996208391018,2.02243067777853e-15,3.38849067195076e-14
"Actr2",9819.28928116316,0.381503652458649,0.0670128637837052,5.69299132909785,1.24832728865929e-08,9.12963171825027e-08
