"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A3galt2",1290.2146206472,-1.7936192822368,0.110072047739975,-16.2949569764878,1.07179062570714e-59,1.98116880690529e-58
"Aaas",443.914841698471,-0.55278053934865,0.156067417653444,-3.54193429775411,0.000397204396176909,0.000780167435254907
"Aagab",1102.52119076072,-0.995239648941276,0.0922780381430085,-10.7852276551317,4.04241170597754e-27,2.92256423997849e-26
"Aak1",313.12190787932,0.682285700407754,0.142973143080297,4.77212492995672,1.82292367622499e-06,4.45817291920933e-06
"Aamp",3992.67669137237,1.07477211754859,0.128223751283148,8.38200494676873,5.20336474371741e-17,2.42595558573626e-16
"Aars",6197.1761110279,0.496533309075899,0.0860500629427738,5.77028408922967,7.91380029318065e-09,2.30546582386786e-08
"Aars2",228.910719733384,-0.388978295086455,0.176241168940053,-2.20707963653352,0.0273084961659629,0.0424509216809216
"Aarsd1",527.336064511808,-1.04189443174603,0.11865944101915,-8.78054390613454,1.62685990617126e-18,8.16954816215668e-18
"Aasdhppt",856.481167927409,-1.46217459197829,0.114770374242305,-12.7400002102575,3.54393870487745e-37,3.60131106839654e-36
"Aatf",517.551783482816,-0.459081095649853,0.128713165238975,-3.56669882834052,0.000361506546199169,0.000713891019956149
"Abat",3.45160637865093,3.18008639442494,1.45812486366786,2.18094243755336,0.0291876743193725,0.0452088228887132
"Abca5",325.991413984139,0.756265658770521,0.149712050710093,5.05146816961968,4.38427005040497e-07,1.12831993695239e-06
"Abca7",1057.59271006429,0.875599830395441,0.107342937163322,8.15703253082422,3.43355935365312e-16,1.53320701482873e-15
"Abcb10",413.587292548417,0.367757059659993,0.137237857629264,2.67970562942958,0.00736869292179446,0.0124747137369668
"Abcb1a",526.21786762804,2.73907361841475,0.158635411922215,17.2664702365309,8.41334908715026e-67,1.78831892766023e-65
"Abcb1b",2687.95702745645,1.15284879279063,0.156371884918283,7.37248127048595,1.67481130252055e-13,6.45501305339868e-13
"Abcb4",87.4522242335993,1.01539500326556,0.281068419193795,3.61262573069603,0.000303112052532313,0.000602524568220261
"Abcb7",313.993707816942,-0.741502632802823,0.141077742130374,-5.25598596635875,1.47233517783883e-07,3.93799013832968e-07
"Abcb8",327.098186245311,-1.6280668429849,0.144985020898978,-11.2292072166496,2.93096494087396e-29,2.27603024918898e-28
"Abcb9",61.6534388161855,1.20641451180285,0.3047435280144,3.95878632653306,7.53315930750281e-05,0.000158684792004945
"Abcc10",145.557725317049,-0.906825968551432,0.20925310241366,-4.3336321330079,1.4666918173567e-05,3.30341427448756e-05
"Abcc3",1063.75272132119,0.520052753039334,0.0992575668409887,5.23942677209146,1.61076145768314e-07,4.29204003714286e-07
"Abcc4",740.279621620604,-0.612784047306549,0.123554684175536,-4.95961809457551,7.06318991980423e-07,1.78760111116087e-06
"Abcc5",233.611935003683,-3.3419402854831,0.194266769150218,-17.2028407128083,2.52826918893749e-66,5.32704550088718e-65
"Abcd1",29.4512568547562,-1.87551521067825,0.466166879361113,-4.02326997844347,5.73956386070743e-05,0.00012227898824332
"Abcd3",667.899536860594,-1.37426144802433,0.115203840393452,-11.9289551748524,8.36163729511762e-33,7.26564186595224e-32
"Abcd4",140.181982276525,-1.31404913654009,0.228424000951437,-5.75267542406566,8.78420388666901e-09,2.5540946982421e-08
"Abce1",2830.74948998462,-0.828657971129355,0.0887308014097115,-9.33901145897528,9.7237707903621e-21,5.39801407487075e-20
"Abcf2",1819.71125723605,-0.384947915799961,0.0814392939150091,-4.72680812043505,2.28076599331317e-06,5.5396597644922e-06
"Abcg1",140.345444034267,1.39513843077263,0.277082432173977,5.03510244163239,4.7759335386128e-07,1.22415038297238e-06
"Abcg2",89.5275507235675,-3.63185762495442,0.309883005767086,-11.7200929297949,1.00561625225059e-31,8.45166462491224e-31
"Abcg3",38.8530611081001,-1.35187338435678,0.39188751179056,-3.44964650233426,0.000561321061445543,0.00108640459812778
"Abcg3l3",93.6697236807011,-1.07906477968386,0.255289163623796,-4.22683346353868,2.37002941625763e-05,5.23238588106557e-05
"Abhd1",84.8292967981877,-0.585827165746391,0.259861952164926,-2.25437837615637,0.0241723744606524,0.0379330022135134
"Abhd13",711.395314221074,0.798220710942815,0.107259888486636,7.44193120284911,9.9223897535047e-14,3.8800986797287e-13
"Abhd14a",17.8840376470559,-2.18938940643337,0.586698707752424,-3.73170995180929,0.000190184407151357,0.000385551299409277
"Abhd14b",269.485335322949,-0.421844656688651,0.169555109304371,-2.4879501326698,0.0128481747047084,0.0209989424384522
"Abhd16a",545.145914820768,0.319860088900541,0.133541880885639,2.39520431178035,0.0166111062492156,0.026714311784834
"Abhd17b",714.36577715086,2.63638019119851,0.144637612695041,18.227486903819,3.12348026083671e-74,7.60488567749576e-73
"Abhd17c",1869.12365689246,1.24796827625876,0.0975201652414314,12.7970279087321,1.70346883996801e-37,1.74873990283598e-36
"Abhd3",42.9720345917558,-2.04058448707221,0.370336860793863,-5.51007664399909,3.58677486653832e-08,1.00157114669879e-07
"Abhd5",704.47258331255,1.12840743709238,0.110205822353226,10.2390909390946,1.324752164584e-24,8.71501806089869e-24
"Abhd6",1154.88168984652,1.82553105546889,0.11005196510426,16.587900577145,8.524857083558e-62,1.63341140812466e-60
"Abhd8",287.22151731537,-1.40476551731421,0.174427834384111,-8.0535627944606,8.04181107620592e-16,3.52052543252691e-15
"Abi1",3324.79959838292,1.50815856396109,0.0846455634644646,17.8173374035632,5.1846201564029e-71,1.19019127857081e-69
"Abi2",124.9744313889,-1.86618697779433,0.230181111032414,-8.10747228312548,5.16836526879452e-16,2.28248949137089e-15
"Abl1",819.331753529365,0.610101537330675,0.0957225325234213,6.3736460083878,1.8458637585302e-10,5.96257036124524e-10
"Abl2",732.154456033636,2.08784744163885,0.118871888279338,17.5638451770246,4.66082781006025e-69,1.03257898468467e-67
"Abr",647.858535789462,-0.345804205545756,0.111655468606213,-3.09706465668369,0.00195447239280888,0.00355551717405775
"Abt1",271.304359840241,0.642870674848157,0.146480699988678,4.38877391286256,1.13991497382184e-05,2.59457134362622e-05
"Abtb1",190.657396605833,0.724948246715891,0.192268778212674,3.77049385477452,0.000162924814646401,0.000332582971903528
"Abtb2",2299.08441384311,4.09898378765404,0.0912723697824562,44.9093608221611,0,0
"Acaa2",607.141686481442,-1.4233799076789,0.12140620748611,-11.7241114532117,9.59020334147681e-32,8.07130800778481e-31
"Acaca",551.392452021576,-2.03697309299115,0.123253626128596,-16.5266788245718,2.35782253313505e-61,4.47503577469978e-60
"Acad10",105.934943893793,-1.87378268060904,0.242581025107829,-7.72435799451391,1.12418486999908e-14,4.61939176721069e-14
"Acad11",300.003386734119,-0.625820020248561,0.145566164566171,-4.29921350276476,1.714052920195e-05,3.82763865002596e-05
"Acad9",596.003697688008,-1.30303935347906,0.12543876558374,-10.3878521716572,2.81623483305167e-25,1.90253711927908e-24
"Acadl",833.353780268211,0.65971673254738,0.0944188112430731,6.98713237184269,2.80561511197277e-12,1.01176760411418e-11
"Acadm",182.017615577524,-0.545008939316877,0.199720186411318,-2.72886256071505,0.00635531853389068,0.0108552011012543
"Acap1",566.447391730513,1.17012929382208,0.129729871688022,9.01973676992484,1.88541787158415e-19,9.87958964710096e-19
"Acap2",1048.77606089431,1.07515433821329,0.131185391488277,8.19568647099989,2.49167026169321e-16,1.12302206409598e-15
"Acap3",284.807162099836,-0.759099142173996,0.145406194491451,-5.22054197779468,1.78400262246307e-07,4.73481603301583e-07
"Acat1",324.304892315857,-1.32469524934344,0.190143189847703,-6.96682984231235,3.24162340912025e-12,1.1641253077091e-11
"Acat2",1858.16887035932,-1.520827760914,0.101878202789096,-14.9279013496376,2.16988396346771e-50,3.19699774177418e-49
"Acbd4",104.173289290638,1.00851299657849,0.251922019100472,4.00327450605368,6.24717443891024e-05,0.000132741442767536
"Acbd6",410.27731870968,-0.848168011230758,0.129699613941396,-6.5394798446663,6.17331604450254e-11,2.049608952296e-10
"Accs",39.8240643909024,-2.5437938655254,0.40957857715439,-6.21075907631399,5.27292640112514e-10,1.65708758764955e-09
"Accsl",16.3889059776349,-4.84699484961782,0.92672957979845,-5.23021489253852,1.69313110294016e-07,4.50156983292187e-07
"Ace",53.1985471031696,0.748479858950667,0.312701265937578,2.39359395206311,0.0166842077149169,0.0268247160325746
"Acer2",194.536804353424,0.451862471504986,0.190483662129525,2.37218492364836,0.0176832378565689,0.0283176166153825
"Acin1",3606.23076272758,1.31911017452725,0.10821484587299,12.1897338935867,3.52570774071214e-34,3.22396279901841e-33
"Acly",5030.15019622397,-0.430961347415477,0.0633255316593224,-6.80549118377648,1.00705046551738e-11,3.50880954334068e-11
"Aco1",486.876582715827,-1.96639715068889,0.131316474240239,-14.9744893933981,1.07792512599146e-50,1.60186851028965e-49
"Aco2",3951.96225343296,-0.63434356279324,0.0842762385604643,-7.52695627650881,5.19367518935781e-14,2.07196866541345e-13
"Acot11",31.6593485090613,-1.23187456229254,0.469493415900498,-2.62383778040802,0.00869451846807043,0.0145678210172647
"Acot13",46.7020533343475,-3.050998665996,0.418780825318461,-7.2854306633449,3.20644351542249e-13,1.22252632862613e-12
"Acot3",29.8499082594698,-1.22381016992949,0.468515721187971,-2.61210054344898,0.00899877849717656,0.0150420635850169
"Acot9",941.079181780975,-0.344397963134664,0.105045798470434,-3.27855057650493,0.00104341664638831,0.0019554124432082
"Acox1",1041.43966450451,0.938619877404605,0.0957363779644299,9.8042133759577,1.07985066215805e-22,6.53331334353856e-22
"Acp1",541.945910484277,-0.65473914404877,0.120285814653155,-5.44319499299825,5.23333052653131e-08,1.44528184018688e-07
"Acp2",121.495807719485,-0.799518453919748,0.272743062934487,-2.93139794397555,0.00337440219160694,0.00596396762182825
"Acp5",1133.57069908501,0.699793501578095,0.111369845413157,6.28350967878262,3.31013591570039e-10,1.05232809432923e-09
"Acp6",167.713376686636,-0.999008252818773,0.203346975234414,-4.91282573378403,8.97730640367777e-07,2.2517064885978e-06
"Acpt",8.78379622782875,2.34539542347975,1.03247711148927,2.27161977479258,0.023109485460523,0.0364263037889385
"Acrbp",44.8338989846766,2.14073649067922,0.377305031428462,5.67375548259847,1.39700498038865e-08,4.0116044850236e-08
"Acsl3",1800.4529937773,1.33574183009172,0.1074724996151,12.4286848717162,1.82613899501418e-35,1.73981242434078e-34
"Acsl4",2599.10609250545,-0.234255942933737,0.0879520109586088,-2.66345181173834,0.00773434887353141,0.0130424475477544
"Acsl5",2849.62085739296,-0.234169391915271,0.0840107063230356,-2.78737558775961,0.00531368533550047,0.00916304702581938
"Acss2",249.256011926077,-1.95892109425052,0.205219405198168,-9.54549640351459,1.35457312471063e-21,7.80368800144e-21
"Actg1",88035.9224373629,0.233740325405808,0.0703411038192489,3.32295503929589,0.000890692691643226,0.00168096278103416
"Actn4",29826.8204765568,-0.197819816084303,0.0718252246986532,-2.75418304522216,0.00588388502503625,0.0100871383103466
"Actr10",1591.26387500474,0.247551009276207,0.101445925484258,2.44022623968886,0.0146780662873606,0.0237960794855085
"Actr1a",3588.55097086334,0.301371750722508,0.0845684005812415,3.56364491525404,0.000365740630092664,0.000721779281787586
"Actr1b",1260.41106625202,-0.554367138518722,0.087803528863363,-6.31372275915482,2.72401753103558e-10,8.68744622493801e-10
"Actr2",9819.28928116316,0.826965847487085,0.0672094540977285,12.3043083534736,8.58688364413941e-35,8.02468173869115e-34
"Actr3",12144.4076310958,0.773534475916528,0.0677349407679138,11.4200214416213,3.32151991262972e-30,2.64930231548732e-29
"Actr8",635.069916744802,0.239030582745601,0.109040855472597,2.19211947402294,0.0283708809452957,0.0440172318682677
"Acvr1",348.114445981958,0.319302834977862,0.132007117948539,2.41883043838847,0.0155704963614458,0.0251582815589415
"Acvr1b",585.360110503056,1.19076527043034,0.131090452884523,9.08353922218332,1.05100457696188e-19,5.56045090498004e-19
"Acvr2a",315.532613256683,1.01254166957159,0.151613220535339,6.67845235393298,2.41478705921711e-11,8.20034196609878e-11
"Acyp1",46.8252069644079,-1.50286107470005,0.370376871773127,-4.05765367450001,4.95682001965271e-05,0.000106317129163293
"Acyp2",5.03006185280156,-3.36232325657281,1.2659284218791,-2.65601371962397,0.00790703974324538,0.0133206098665912
"Ada",175.453087139674,-1.23367384041946,0.22911624994766,-5.38448861964736,7.26509001453475e-08,1.98546178809916e-07
"Adam10",2582.51687249886,1.68848389759559,0.0785615777654831,21.4924896574244,1.83029194897509e-102,7.18523731890807e-101
"Adam15",906.949437088491,-0.339063063729139,0.111976286148801,-3.02798990206348,0.00246186313596852,0.00442379223418706
